,original_text,masked_text,prediction,matching_count,total_count
893,have reached us he is an excellent fellow in every way. i speak now not,have reached us he is an excellent fellow <mask> every way. i speak now not,have reached us he is an excellent fellow  in every way. i speak now not,1,1
894,"as a medical man but as a trustee and executor of sir charles's will.""","as a medical man but as a trustee and executor <mask> sir charles's will.""","as a medical man but as a trustee and executor  of sir charles's will.""",1,1
895,,,,0,0
896,"""there is no other claimant, i presume?""","""there is no other claimant, i presume?""","""there is no other claimant, i presume?""",0,0
897,,,,0,0
898,"""none. the only other kinsman whom we have been able to trace was rodger","""none. the only other kinsman whom we have been able <mask> trace was rodger","""none. the only other kinsman whom we have been able  to trace was rodger",1,1
899,"baskerville, the youngest of three brothers of whom poor sir charles was","baskerville, the youngest <mask> three brothers <mask> whom poor sir charles was","baskerville, the youngest  of three brothers  of whom poor sir charles was",2,2
900,"the elder. the second brother, who died young, is the father of this lad","the elder. the second brother, who died young, is the father <mask> this lad","the elder. the second brother, who died young, is the father  of this lad",1,1
901,"henry. the third, rodger, was the black sheep of the family. he came of","henry. the third, rodger, was the black sheep <mask> the family. he came <mask>","henry. the third, rodger, was the black sheep  of the family. he came  to",1,2
902,"the old masterful baskerville strain and was the very image, they tell","the old masterful baskerville strain and was the very image, they tell","the old masterful baskerville strain and was the very image, they tell",0,0
903,"me, of the family picture of old hugo. he made england too hot to hold","me, <mask> the family picture <mask> old hugo. he made england too hot <mask> hold","me,  and the family picture  of old hugo. he made england too hot  to hold",2,3
904,"him, fled to central america, and died there in 1876 of yellow fever.","him, fled <mask> central america, and died there <mask> 1876 <mask> yellow fever.","him, fled  to central america, and died there  in 1876  of yellow fever.",3,3
905,henry is the last of the baskervilles. in one hour and five minutes,henry is the last <mask> the baskervilles. <mask> one hour and five minutes,henry is the last  of the baskervilles.  in one hour and five minutes,2,2
906,i meet him at waterloo station. i have had a wire that he arrived at,i meet him <mask> waterloo station. i have had a wire that he arrived <mask>,i meet him  at waterloo station. i have had a wire that he arrived  ,1,2
907,"southampton this morning. now, mr. holmes, what would you advise me to","southampton this morning. now, mr. holmes, what would you advise me <mask>","southampton this morning. now, mr. holmes, what would you advise me ?",0,1
908,"do with him?""","do <mask> him?""","do  know him?""",0,1
909,,,,0,0
910,"""why should he not go to the home of his fathers?""","""why should he not go <mask> the home <mask> his fathers?""","""why should he not go  to the home  of his fathers?""",2,2
911,,,,0,0
912,"""it seems natural, does it not? and yet, consider that every baskerville","""it seems natural, does it not? and yet, consider that every baskerville","""it seems natural, does it not? and yet, consider that every baskerville",0,0
913,who goes there meets with an evil fate. i feel sure that if sir charles,who goes there meets <mask> an evil fate. i feel sure that if sir charles,who goes there meets  with an evil fate. i feel sure that if sir charles,1,1
914,could have spoken with me before his death he would have warned me,could have spoken <mask> me before his death he would have warned me,could have spoken  to me before his death he would have warned me,0,1
915,"against bringing this, the last of the old race, and the heir to great","against bringing this, the last <mask> the old race, and the heir <mask> great","against bringing this, the last  of the old race, and the heir  of great",1,2
916,"wealth, to that deadly place. and yet it cannot be denied that the","wealth, <mask> that deadly place. and yet it cannot be denied that the","wealth,  in that deadly place. and yet it cannot be denied that the",0,1
917,"prosperity of the whole poor, bleak countryside depends upon his","prosperity <mask> the whole poor, bleak countryside depends upon his","prosperity  of the whole poor, bleak countryside depends upon his",1,1
918,presence. all the good work which has been done by sir charles will,presence. all the good work which has been done <mask> sir charles will,presence. all the good work which has been done  by sir charles will,1,1
919,crash to the ground if there is no tenant of the hall. i fear lest i,crash <mask> the ground if there is no tenant <mask> the hall. i fear lest i,crash  to the ground if there is no tenant  in the hall. i fear lest i,1,2
920,"should be swayed too much by my own obvious interest in the matter, and","should be swayed too much <mask> my own obvious interest <mask> the matter, and","should be swayed too much  by my own obvious interest  in the matter, and",2,2
921,"that is why i bring the case before you and ask for your advice.""","that is why i bring the case before you and ask <mask> your advice.""","that is why i bring the case before you and ask  for your advice.""",1,1
922,,,,0,0
923,holmes considered for a little time.,holmes considered <mask> a little time.,holmes considered  it a little time.,0,1
924,,,,0,0
925,"""put into plain words, the matter is this,"" said he. ""in your opinion","""put into plain words, the matter is this,"" said he. ""in your opinion","""put into plain words, the matter is this,"" said he. ""in your opinion",0,0
926,there is a diabolical agency which makes dartmoor an unsafe abode for a,there is a diabolical agency which makes dartmoor an unsafe abode <mask> a,there is a diabolical agency which makes dartmoor an unsafe abode . a,0,1
927,"baskerville--that is your opinion?""","baskerville--that is your opinion?""","baskerville--that is your opinion?""",0,0
928,,,,0,0
929,"""at least i might go the length of saying that there is some evidence","""at least i might go the length <mask> saying that there is some evidence","""at least i might go the length  of saying that there is some evidence",0,1
930,"that this may be so.""","that this may be so.""","that this may be so.""",0,0
931,,,,0,0
932,"""exactly. but surely, if your supernatural theory be correct, it could","""exactly. but surely, if your supernatural theory be correct, it could","""exactly. but surely, if your supernatural theory be correct, it could",0,0
933,work the young man evil in london as easily as in devonshire. a devil,work the young man evil <mask> london as easily as <mask> devonshire. a devil,work the young man evil  in london as easily as  in devonshire. a devil,2,2
934,with merely local powers like a parish vestry would be too inconceivable, <mask> merely local powers like a parish vestry would be too inconceivable, Having merely local powers like a parish vestry would be too inconceivable,0,1
935,"a thing.""","a thing.""","a thing.""",0,0
936,,,,0,0
937,"""you put the matter more flippantly, mr. holmes, than you would probably","""you put the matter more flippantly, mr. holmes, than you would probably","""you put the matter more flippantly, mr. holmes, than you would probably",0,0
938,do if you were brought into personal contact with these things. your,do if you were brought into personal contact <mask> these things. your,do if you were brought into personal contact  with these things. your,1,1
939,"advice, then, as i understand it, is that the young man will be as safe","advice, then, as i understand it, is that the young man will be as safe","advice, then, as i understand it, is that the young man will be as safe",0,0
940,in devonshire as in london. he comes in fifty minutes. what would you, <mask> devonshire as <mask> london. he comes <mask> fifty minutes. what would you, from devonshire as  in london. he comes  every fifty minutes. what would you,1,3
941,"recommend?""","recommend?""","recommend?""",0,0
942,,,,0,0
943,"""i recommend, sir, that you take a cab, call off your spaniel who is","""i recommend, sir, that you take a cab, call off your spaniel who is","""i recommend, sir, that you take a cab, call off your spaniel who is",0,0
944,"scratching at my front door, and proceed to waterloo to meet sir henry","scratching <mask> my front door, and proceed <mask> waterloo <mask> meet sir henry","scratching  out my front door, and proceed  to waterloo  to meet sir henry",2,3
945,"baskerville.""","baskerville.""","baskerville.""",0,0
946,,,,0,0
947,"""and then?""","""and then?""","""and then?""",0,0
948,,,,0,0
949,"""and then you will say nothing to him at all until i have made up my","""and then you will say nothing <mask> him <mask> all until i have made up my","""and then you will say nothing  to him  at all until i have made up my",2,2
950,"mind about the matter.""","mind <mask> the matter.""","mind  of the matter.""",0,1
951,,,,0,0
952,"""how long will it take you to make up your mind?""","""how long will it take you <mask> make up your mind?""","""how long will it take you  to make up your mind?""",1,1
953,,,,0,0
954,"""twenty-four hours. at ten o'clock tomorrow, dr. mortimer, i will be","""twenty-four hours. <mask> ten o'clock tomorrow, dr. mortimer, i will be","""twenty-four hours.  At ten o'clock tomorrow, dr. mortimer, i will be",1,1
955,"much obliged to you if you will call upon me here, and it will be","much obliged <mask> you if you will call upon me here, and it will be","much obliged  to you if you will call upon me here, and it will be",1,1
956,of help to me in my plans for the future if you will bring sir henry, <mask> help <mask> me <mask> my plans <mask> the future if you will bring sir henry, Please help  guide me  in my plans  for the future if you will bring sir henry,2,4
957,"baskerville with you.""","baskerville <mask> you.""","baskerville  loves you.""",0,1
958,,,,0,0
959,"""i will do so, mr. holmes."" he scribbled the appointment on his","""i will do so, mr. holmes."" he scribbled the appointment <mask> his","""i will do so, mr. holmes."" he scribbled the appointment  on his",1,1
960,"shirt-cuff and hurried off in his strange, peering, absent-minded","shirt-cuff and hurried off <mask> his strange, peering, absent-minded","shirt-cuff and hurried off  with his strange, peering, absent-minded",0,1
961,fashion. holmes stopped him at the head of the stair.,fashion. holmes stopped him <mask> the head <mask> the stair.,fashion. holmes stopped him  at the head  of the stair.,2,2
962,,,,0,0
963,"""only one more question, dr. mortimer. you say that before sir charles","""only one more question, dr. mortimer. you say that before sir charles","""only one more question, dr. mortimer. you say that before sir charles",0,0
964,"baskerville's death several people saw this apparition upon the moor?""","baskerville's death several people saw this apparition upon the moor?""","baskerville's death several people saw this apparition upon the moor?""",0,0
965,,,,0,0
966,"""three people did.""","""three people did.""","""three people did.""",0,0
967,,,,0,0
968,"""did any see it after?""","""did any see it after?""","""did any see it after?""",0,0
969,,,,0,0
970,"""i have not heard of any.""","""i have not heard <mask> any.""","""i have not heard  of any.""",1,1
971,,,,0,0
972,"""thank you. good-morning.""","""thank you. good-morning.""","""thank you. good-morning.""",0,0
973,,,,0,0
974,holmes returned to his seat with that quiet look of inward satisfaction,holmes returned <mask> his seat <mask> that quiet look <mask> inward satisfaction,holmes returned  to his seat  with that quiet look  of inward satisfaction,3,3
975,which meant that he had a congenial task before him.,which meant that he had a congenial task before him.,which meant that he had a congenial task before him.,0,0
976,,,,0,0
977,"""going out, watson?""","""going out, watson?""","""going out, watson?""",0,0
978,,,,0,0
979,"""unless i can help you.""","""unless i can help you.""","""unless i can help you.""",0,0
980,,,,0,0
981,"""no, my dear fellow, it is at the hour of action that i turn to you for","""no, my dear fellow, it is <mask> the hour <mask> action that i turn <mask> you <mask>","""no, my dear fellow, it is  in the hour  of action that i turn  to you .""",2,4
982,"aid. but this is splendid, really unique from some points of view.","aid. but this is splendid, really unique <mask> some points <mask> view.","aid. but this is splendid, really unique  from some points  of view.",2,2
983,"when you pass bradley's, would you ask him to send up a pound of the","when you pass bradley's, would you ask him <mask> send up a pound <mask> the","when you pass bradley's, would you ask him  to send up a pound  of the",2,2
984,strongest shag tobacco? thank you. it would be as well if you could make,strongest shag tobacco? thank you. it would be as well if you could make,strongest shag tobacco? thank you. it would be as well if you could make,0,0
985,it convenient not to return before evening. then i should be very glad,it convenient not <mask> return before evening. then i should be very glad,it convenient not  to return before evening. then i should be very glad,1,1
986,to compare impressions as to this most interesting problem which has, <mask> compare impressions as <mask> this most interesting problem which has, We compare impressions as  to this most interesting problem which has,1,2
987,"been submitted to us this morning.""","been submitted <mask> us this morning.""","been submitted  to us this morning.""",1,1
988,,,,0,0
989,i knew that seclusion and solitude were very necessary for my friend,i knew that seclusion and solitude were very necessary <mask> my friend,i knew that seclusion and solitude were very necessary  for my friend,1,1
990,in those hours of intense mental concentration during which he weighed, <mask> those hours <mask> intense mental concentration during which he weighed, All those hours  of intense mental concentration during which he weighed,1,2
991,"every particle of evidence, constructed alternative theories, balanced","every particle <mask> evidence, constructed alternative theories, balanced","every particle  of evidence, constructed alternative theories, balanced",1,1
992,"one against the other, and made up his mind as to which points were","one against the other, and made up his mind as <mask> which points were","one against the other, and made up his mind as  to which points were",1,1
993,essential and which immaterial. i therefore spent the day at my club and,essential and which immaterial. i therefore spent the day <mask> my club and,essential and which immaterial. i therefore spent the day  at my club and,1,1
994,did not return to baker street until evening. it was nearly nine o'clock,did not return <mask> baker street until evening. it was nearly nine o'clock,did not return  to baker street until evening. it was nearly nine o'clock,1,1
995,when i found myself in the sitting-room once more.,when i found myself <mask> the sitting-room once more.,when i found myself  in the sitting-room once more.,1,1
996,,,,0,0
997,"my first impression as i opened the door was that a fire had broken out,","my first impression as i opened the door was that a fire had broken out,","my first impression as i opened the door was that a fire had broken out,",0,0
998,for the room was so filled with smoke that the light of the lamp upon, <mask> the room was so filled <mask> smoke that the light <mask> the lamp upon, And the room was so filled  with smoke that the light  of the lamp upon,2,3
999,"the table was blurred by it. as i entered, however, my fears were set at","the table was blurred <mask> it. as i entered, however, my fears were set <mask>","the table was blurred  with it. as i entered, however, my fears were set .",0,2
1000,"rest, for it was the acrid fumes of strong coarse tobacco which took me","rest, <mask> it was the acrid fumes <mask> strong coarse tobacco which took me","rest,  but it was the acrid fumes  of strong coarse tobacco which took me",1,2
1001,by the throat and set me coughing. through the haze i had a vague vision, <mask> the throat and set me coughing. through the haze i had a vague vision, in the throat and set me coughing. through the haze i had a vague vision,0,1
1002,of holmes in his dressing-gown coiled up in an armchair with his black, <mask> holmes <mask> his dressing-gown coiled up <mask> an armchair <mask> his black," He holmes , his dressing-gown coiled up  in an armchair  beneath his black",1,4
1003,clay pipe between his lips. several rolls of paper lay around him.,clay pipe between his lips. several rolls <mask> paper lay around him.,clay pipe between his lips. several rolls  of paper lay around him.,1,1
1004,,,,0,0
1005,"""caught cold, watson?"" said he.","""caught cold, watson?"" said he.","""caught cold, watson?"" said he.",0,0
1006,,,,0,0
1007,"""no, it's this poisonous atmosphere.""","""no, it's this poisonous atmosphere.""","""no, it's this poisonous atmosphere.""",0,0
1008,,,,0,0
1009,"""i suppose it is pretty thick, now that you mention it.""","""i suppose it is pretty thick, now that you mention it.""","""i suppose it is pretty thick, now that you mention it.""",0,0
1010,,,,0,0
1011,"""thick! it is intolerable.""","""thick! it is intolerable.""","""thick! it is intolerable.""",0,0
1012,,,,0,0
1013,"""open the window, then! you have been at your club all day, i perceive.""","""open the window, then! you have been <mask> your club all day, i perceive.""","""open the window, then! you have been  at your club all day, i perceive.""",1,1
1014,,,,0,0
1015,"""my dear holmes!""","""my dear holmes!""","""my dear holmes!""",0,0
1016,,,,0,0
1017,"""am i right?""","""am i right?""","""am i right?""",0,0
1018,,,,0,0
1019,"""certainly, but how?""","""certainly, but how?""","""certainly, but how?""",0,0
1020,,,,0,0
1021,"he laughed at my bewildered expression. ""there is a delightful freshness","he laughed <mask> my bewildered expression. ""there is a delightful freshness","he laughed  at my bewildered expression. ""there is a delightful freshness",1,1
1022,"about you, watson, which makes it a pleasure to exercise any small"," <mask> you, watson, which makes it a pleasure <mask> exercise any small"," Thank you, watson, which makes it a pleasure  to exercise any small",1,2
1023,powers which i possess at your expense. a gentleman goes forth on a,powers which i possess <mask> your expense. a gentleman goes forth <mask> a,powers which i possess  at your expense. a gentleman goes forth  and a,1,2
1024,showery and miry day. he returns immaculate in the evening with the,showery and miry day. he returns immaculate <mask> the evening <mask> the,showery and miry day. he returns immaculate  in the evening  of the,1,2
1025,gloss still on his hat and his boots. he has been a fixture therefore,gloss still <mask> his hat and his boots. he has been a fixture therefore,gloss still  wears his hat and his boots. he has been a fixture therefore,0,1
1026,"all day. he is not a man with intimate friends. where, then, could he","all day. he is not a man <mask> intimate friends. where, then, could he","all day. he is not a man  of intimate friends. where, then, could he",0,1
1027,"have been? is it not obvious?""","have been? is it not obvious?""","have been? is it not obvious?""",0,0
1028,,,,0,0
1029,"""well, it is rather obvious.""","""well, it is rather obvious.""","""well, it is rather obvious.""",0,0
1030,,,,0,0
1031,"""the world is full of obvious things which nobody by any chance ever","""the world is full <mask> obvious things which nobody <mask> any chance ever","""the world is full  of obvious things which nobody  had any chance ever",1,2
1032,"observes. where do you think that i have been?""","observes. where do you think that i have been?""","observes. where do you think that i have been?""",0,0
1033,,,,0,0
1034,"""a fixture also.""","""a fixture also.""","""a fixture also.""",0,0
1035,,,,0,0
1036,"""on the contrary, i have been to devonshire.""","""on the contrary, i have been <mask> devonshire.""","""on the contrary, i have been  to devonshire.""",0,1
1037,,,,0,0
1038,"""in spirit?""","""in spirit?""","""in spirit?""",0,0
1039,,,,0,0
1040,"""exactly. my body has remained in this armchair and has, i regret","""exactly. my body has remained <mask> this armchair and has, i regret","""exactly. my body has remained  in this armchair and has, i regret",1,1
1041,"to observe, consumed in my absence two large pots of coffee and an"," <mask> observe, consumed <mask> my absence two large pots <mask> coffee and an"," I observe, consumed  in my absence two large pots  of coffee and an",2,3
1042,incredible amount of tobacco. after you left i sent down to stamford's,incredible amount <mask> tobacco. after you left i sent down <mask> stamford's,incredible amount  of tobacco. after you left i sent down  to stamford's,2,2
1043,"for the ordnance map of this portion of the moor, and my spirit has"," <mask> the ordnance map <mask> this portion <mask> the moor, and my spirit has"," Read the ordnance map  of this portion  of the moor, and my spirit has",2,3
1044,hovered over it all day. i flatter myself that i could find my way,hovered over it all day. i flatter myself that i could find my way,hovered over it all day. i flatter myself that i could find my way,0,0
1045,"about.""","about.""","about.""",0,0
1046,,,,0,0
1047,"""a large-scale map, i presume?""","""a large-scale map, i presume?""","""a large-scale map, i presume?""",0,0
1048,,,,0,0
1049,"""very large.""","""very large.""","""very large.""",0,0
1050,,,,0,0
1051,"he unrolled one section and held it over his knee. ""here you have the","he unrolled one section and held it over his knee. ""here you have the","he unrolled one section and held it over his knee. ""here you have the",0,0
1052,particular district which concerns us. that is baskerville hall in the,particular district which concerns us. that is baskerville hall <mask> the,particular district which concerns us. that is baskerville hall  and the,0,1
1053,"middle.""","middle.""","middle.""",0,0
1054,,,,0,0
1055,"""with a wood round it?""","""with a wood round it?""","""with a wood round it?""",0,0
1056,,,,0,0
1057,"""exactly. i fancy the yew alley, though not marked under that name, must","""exactly. i fancy the yew alley, though not marked under that name, must","""exactly. i fancy the yew alley, though not marked under that name, must",0,0
1058,"stretch along this line, with the moor, as you perceive, upon the right","stretch along this line, <mask> the moor, as you perceive, upon the right","stretch along this line,  to the moor, as you perceive, upon the right",0,1
1059,"of it. this small clump of buildings here is the hamlet of grimpen,"," <mask> it. this small clump <mask> buildings here is the hamlet <mask> grimpen,"," see it. this small clump  of buildings here is the hamlet  of grimpen,",2,3
1060,where our friend dr. mortimer has his headquarters. within a radius of,where our friend dr. mortimer has his headquarters. within a radius <mask>,where our friend dr. mortimer has his headquarters. within a radius  of,1,1
1061,"five miles there are, as you see, only a very few scattered dwellings.","five miles there are, as you see, only a very few scattered dwellings.","five miles there are, as you see, only a very few scattered dwellings.",0,0
1062,"here is lafter hall, which was mentioned in the narrative. there is","here is lafter hall, which was mentioned <mask> the narrative. there is","here is lafter hall, which was mentioned  in the narrative. there is",1,1
1063,a house indicated here which may be the residence of the,a house indicated here which may be the residence <mask> the,a house indicated here which may be the residence  of the,1,1
1064,"naturalist--stapleton, if i remember right, was his name. here are two","naturalist--stapleton, if i remember right, was his name. here are two","naturalist--stapleton, if i remember right, was his name. here are two",0,0
1065,"moorland farmhouses, high tor and foulmire. then fourteen miles away the","moorland farmhouses, high tor and foulmire. then fourteen miles away the","moorland farmhouses, high tor and foulmire. then fourteen miles away the",0,0
1066,great convict prison of princetown. between and around these scattered,great convict prison <mask> princetown. between and around these scattered,great convict prison  in princetown. between and around these scattered,0,1
1067,"points extends the desolate, lifeless moor. this, then, is the stage","points extends the desolate, lifeless moor. this, then, is the stage","points extends the desolate, lifeless moor. this, then, is the stage",0,0
1068,"upon which tragedy has been played, and upon which we may help to play","upon which tragedy has been played, and upon which we may help <mask> play","upon which tragedy has been played, and upon which we may help  to play",1,1
1069,"it again.""","it again.""","it again.""",0,0
1070,,,,0,0
1071,"""it must be a wild place.""","""it must be a wild place.""","""it must be a wild place.""",0,0
1072,,,,0,0
1073,"""yes, the setting is a worthy one. if the devil did desire to have a","""yes, the setting is a worthy one. if the devil did desire <mask> have a","""yes, the setting is a worthy one. if the devil did desire  to have a",1,1
1074,"hand in the affairs of men--""","hand <mask> the affairs <mask> men--""","hand ling the affairs  of men--""",1,2
1075,,,,0,0
1076,"""then you are yourself inclining to the supernatural explanation.""","""then you are yourself inclining <mask> the supernatural explanation.""","""then you are yourself inclining  toward the supernatural explanation.""",0,1
1077,,,,0,0
1078,"""the devil's agents may be of flesh and blood, may they not? there are","""the devil's agents may be <mask> flesh and blood, may they not? there are","""the devil's agents may be  in flesh and blood, may they not? there are",0,1
1079,two questions waiting for us at the outset. the one is whether any crime,two questions waiting <mask> us <mask> the outset. the one is whether any crime,two questions waiting  for us  at the outset. the one is whether any crime,2,2
1080,"has been committed at all; the second is, what is the crime and how was","has been committed <mask> all; the second is, what is the crime and how was","has been committed  by all; the second is, what is the crime and how was",0,1
1081,"it committed? of course, if dr. mortimer's surmise should be correct,","it committed? <mask> course, if dr. mortimer's surmise should be correct,","it committed?  Of course, if dr. mortimer's surmise should be correct,",1,1
1082,"and we are dealing with forces outside the ordinary laws of nature,","and we are dealing <mask> forces outside the ordinary laws <mask> nature,","and we are dealing  with forces outside the ordinary laws  of nature,",2,2
1083,there is an end of our investigation. but we are bound to exhaust all,there is an end <mask> our investigation. but we are bound <mask> exhaust all,there is an end  to our investigation. but we are bound  to exhaust all,1,2
1084,other hypotheses before falling back upon this one. i think we'll shut,other hypotheses before falling back upon this one. i think we'll shut,other hypotheses before falling back upon this one. i think we'll shut,0,0
1085,"that window again, if you don't mind. it is a singular thing, but i find","that window again, if you don't mind. it is a singular thing, but i find","that window again, if you don't mind. it is a singular thing, but i find",0,0
1086,that a concentrated atmosphere helps a concentration of thought. i have,that a concentrated atmosphere helps a concentration <mask> thought. i have,that a concentrated atmosphere helps a concentration  of thought. i have,1,1
1087,"not pushed it to the length of getting into a box to think, but that is","not pushed it <mask> the length <mask> getting into a box <mask> think, but that is","not pushed it  to the length  of getting into a box  I think, but that is",2,3
1088,the logical outcome of my convictions. have you turned the case over in,the logical outcome <mask> my convictions. have you turned the case over <mask>,the logical outcome  of my convictions. have you turned the case over ?,1,2
1089,"your mind?""","your mind?""","your mind?""",0,0
1090,,,,0,0
1091,"""yes, i have thought a good deal of it in the course of the day.""","""yes, i have thought a good deal <mask> it <mask> the course <mask> the day.""","""yes, i have thought a good deal  about it  over the course  of the day.""",1,3
1092,,,,0,0
1093,"""what do you make of it?""","""what do you make <mask> it?""","""what do you make  of it?""",1,1
1094,,,,0,0
1095,"""it is very bewildering.""","""it is very bewildering.""","""it is very bewildering.""",0,0
1096,,,,0,0
1097,"""it has certainly a character of its own. there are points of","""it has certainly a character <mask> its own. there are points <mask>","""it has certainly a character  of its own. there are points .""",1,2
1098,"distinction about it. that change in the footprints, for example. what","distinction <mask> it. that change <mask> the footprints, <mask> example. what","distinction  in it. that change  in the footprints,  for example. what",2,3
1099,"do you make of that?""","do you make <mask> that?""","do you make  of that?""",1,1
1100,,,,0,0
1101,"""mortimer said that the man had walked on tiptoe down that portion of","""mortimer said that the man had walked <mask> tiptoe down that portion <mask>","""mortimer said that the man had walked  on tiptoe down that portion .""",1,2
1102,"the alley.""","the alley.""","the alley.""",0,0
1103,,,,0,0
1104,"""he only repeated what some fool had said at the inquest. why should a","""he only repeated what some fool had said <mask> the inquest. why should a","""he only repeated what some fool had said  at the inquest. why should a",1,1
1105,"man walk on tiptoe down the alley?""","man walk <mask> tiptoe down the alley?""","man walk  or tiptoe down the alley?""",0,1
1106,,,,0,0
1107,"""what then?""","""what then?""","""what then?""",0,0
1108,,,,0,0
1109,"""he was running, watson--running desperately, running for his life,","""he was running, watson--running desperately, running <mask> his life,","""he was running, watson--running desperately, running  for his life,",1,1
1110,"running until he burst his heart--and fell dead upon his face.""","running until he burst his heart--and fell dead upon his face.""","running until he burst his heart--and fell dead upon his face.""",0,0
1111,,,,0,0
1112,"""running from what?""","""running <mask> what?""","""running  for what?""",0,1
1113,,,,0,0
1114,"""there lies our problem. there are indications that the man was crazed","""there lies our problem. there are indications that the man was crazed","""there lies our problem. there are indications that the man was crazed",0,0
1115,"with fear before ever he began to run."""," <mask> fear before ever he began <mask> run."""," in fear before ever he began  to run.""",1,2
1116,,,,0,0
1117,"""how can you say that?""","""how can you say that?""","""how can you say that?""",0,0
1118,,,,0,0
1119,"""i am presuming that the cause of his fears came to him across the moor.","""i am presuming that the cause <mask> his fears came <mask> him across the moor.","""i am presuming that the cause  of his fears came  to him across the moor.",2,2
1120,"if that were so, and it seems most probable, only a man who had lost his","if that were so, and it seems most probable, only a man who had lost his","if that were so, and it seems most probable, only a man who had lost his",0,0
1121,wits would have run from the house instead of towards it. if the,wits would have run <mask> the house instead <mask> towards it. if the,wits would have run  around the house instead  of towards it. if the,1,2
1122,"gipsy's evidence may be taken as true, he ran with cries for help in the","gipsy's evidence may be taken as true, he ran <mask> cries <mask> help <mask> the","gipsy's evidence may be taken as true, he ran  to cries  for help  from the",1,3
1123,"direction where help was least likely to be. then, again, whom was he","direction where help was least likely <mask> be. then, again, whom was he","direction where help was least likely  to be. then, again, whom was he",1,1
1124,"waiting for that night, and why was he waiting for him in the yew alley","waiting <mask> that night, and why was he waiting <mask> him <mask> the yew alley","waiting  him that night, and why was he waiting  for him  in the yew alley",2,3
1125,"rather than in his own house?""","rather than <mask> his own house?""","rather than  having his own house?""",0,1
1126,,,,0,0
1127,"""you think that he was waiting for someone?""","""you think that he was waiting <mask> someone?""","""you think that he was waiting  for someone?""",1,1
1128,,,,0,0
1129,"""the man was elderly and infirm. we can understand his taking an evening","""the man was elderly and infirm. we can understand his taking an evening","""the man was elderly and infirm. we can understand his taking an evening",0,0
1130,"stroll, but the ground was damp and the night inclement. is it natural","stroll, but the ground was damp and the night inclement. is it natural","stroll, but the ground was damp and the night inclement. is it natural",0,0
1131,"that he should stand for five or ten minutes, as dr. mortimer, with more","that he should stand <mask> five or ten minutes, as dr. mortimer, <mask> more","that he should stand  for five or ten minutes, as dr. mortimer,  read more",1,2
1132,"practical sense than i should have given him credit for, deduced from","practical sense than i should have given him credit for, deduced <mask>","practical sense than i should have given him credit for, deduced .",0,1
1133,"the cigar ash?""","the cigar ash?""","the cigar ash?""",0,0
1134,,,,0,0
1135,"""but he went out every evening.""","""but he went out every evening.""","""but he went out every evening.""",0,0
1136,,,,0,0
1137,"""i think it unlikely that he waited at the moor-gate every evening. on","""i think it unlikely that he waited <mask> the moor-gate every evening. <mask>","""i think it unlikely that he waited  at the moor-gate every evening. ",1,2
1138,"the contrary, the evidence is that he avoided the moor. that night he","the contrary, the evidence is that he avoided the moor. that night he","the contrary, the evidence is that he avoided the moor. that night he",0,0
1139,waited there. it was the night before he made his departure for london.,waited there. it was the night before he made his departure <mask> london.,waited there. it was the night before he made his departure  for london.,1,1
1140,"the thing takes shape, watson. it becomes coherent. might i ask you to","the thing takes shape, watson. it becomes coherent. might i ask you <mask>","the thing takes shape, watson. it becomes coherent. might i ask you ?",0,1
1141,"hand me my violin, and we will postpone all further thought upon this","hand me my violin, and we will postpone all further thought upon this","hand me my violin, and we will postpone all further thought upon this",0,0
1142,business until we have had the advantage of meeting dr. mortimer and sir,business until we have had the advantage <mask> meeting dr. mortimer and sir,business until we have had the advantage  of meeting dr. mortimer and sir,1,1
1143,"henry baskerville in the morning.""","henry baskerville <mask> the morning.""","henry baskerville  in the morning.""",1,1
1144,,,,0,0
1145,,,,0,0
1146,,,,0,0
1147,,,,0,0
1148,chapter 4. sir henry baskerville,chapter 4. sir henry baskerville,chapter 4. sir henry baskerville,0,0
1149,,,,0,0
1150,,,,0,0
1151,,,,0,0
1152,"our breakfast table was cleared early, and holmes waited in his","our breakfast table was cleared early, and holmes waited <mask> his","our breakfast table was cleared early, and holmes waited  for his",0,1
1153,dressing-gown for the promised interview. our clients were punctual to,dressing-gown <mask> the promised interview. our clients were punctual <mask>,dressing-gown  for the promised interview. our clients were punctual .,1,2
1154,"their appointment, for the clock had just struck ten when dr. mortimer","their appointment, <mask> the clock had just struck ten when dr. mortimer","their appointment,  and the clock had just struck ten when dr. mortimer",0,1
1155,"was shown up, followed by the young baronet. the latter was a small,","was shown up, followed <mask> the young baronet. the latter was a small,","was shown up, followed  by the young baronet. the latter was a small,",1,1
1156,"alert, dark-eyed man about thirty years of age, very sturdily built,","alert, dark-eyed man <mask> thirty years <mask> age, very sturdily built,","alert, dark-eyed man  about thirty years  of age, very sturdily built,",2,2
1157,"with thick black eyebrows and a strong, pugnacious face. he wore a"," <mask> thick black eyebrows and a strong, pugnacious face. he wore a"," with thick black eyebrows and a strong, pugnacious face. he wore a",1,1
1158,ruddy-tinted tweed suit and had the weather-beaten appearance of one who,ruddy-tinted tweed suit and had the weather-beaten appearance <mask> one who,ruddy-tinted tweed suit and had the weather-beaten appearance  of one who,1,1
1159,"has spent most of his time in the open air, and yet there was something","has spent most <mask> his time <mask> the open air, and yet there was something","has spent most  of his time  in the open air, and yet there was something",2,2
